2025-04-02 22:06:11,010 - INFO - 开始第 1 轮浏览(5个帖子)...
2025-04-02 22:06:11,013 - INFO - 开始浏览5篇帖子...
2025-04-02 22:06:17,278 - INFO - 获取到评论 - 用户: 空心无眠, 内容: 我靠真的吗几百块。我九百公里就一千了
2025-04-02 22:06:17,315 - INFO - 获取到评论 - 用户: 小红薯63A91D1E, 内容: 你这个才是真实的
2025-04-02 22:06:17,352 - INFO - 获取到评论 - 用户: 困困\U0001f60f, 内容: 我两只猫，北京到徐州700多公里1000
2025-04-02 22:06:17,387 - INFO - 获取到评论 - 用户: Ego., 内容: 哥们儿 你也用的宠物搭车吗 自营的？ 靠谱不
2025-04-02 22:06:17,412 - INFO - 获取到评论 - 用户: 陳西柚鸭, 内容: 求推
2025-04-02 22:06:17,437 - INFO - 获取到评论 - 用户: 小宁困死了, 内容: 我之前用了家，还可以，不是这家，因为这家我当时看的时候被爆雷了，没敢用
2025-04-02 22:06:17,460 - INFO - 获取到评论 - 用户: Sccccy, 内容: 我一千五百多公里他报价一千七百多
2025-04-02 22:06:17,479 - INFO - 获取到评论 - 用户: 丁叮猫国际宠物托运, 内容: 被黑心坑了吧，
2025-04-02 22:06:17,497 - INFO - 获取到评论 - 用户: Bulubulu Biu\U0001f4ab, 内容: 我上海到长春2160 一只咪咪
2025-04-02 22:06:17,515 - INFO - 获取到评论 - 用户: 爱丽丝扎刺儿, 内容: 你真有钱
2025-04-02 22:06:17,537 - INFO - 获取到评论 - 用户: 刮刮乐修炼仙子, 内容: 北京到成都1700多，比我卖的狗还贵
2025-04-02 22:06:17,558 - INFO - 获取到评论 - 用户: Sea～, 内容: 这是哪家啊
2025-04-02 22:06:17,577 - INFO - 获取到评论 - 用户: 奶糖不加糖\U0001f36c, 内容: 我两只猫，长沙到北京 多少
2025-04-02 22:06:17,596 - INFO - 获取到评论 - 用户: :D, 内容: 问了一下南宁-南昌 一千八百多
2025-04-02 22:06:17,621 - INFO - 获取到评论 - 用户: CC, 内容: 想问一下你选的是他家什么舱位呀
2025-04-02 22:06:33,981 - INFO - 获取到评论 - 用户: 而荷马被煮死在水槽里, 内容: 一个花枝鼠托运需要3k，真天价
2025-04-02 22:06:34,016 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 天，从哪里到哪里这么贵
2025-04-02 22:06:34,050 - INFO - 获取到评论 - 用户: 明, 内容: 请问是这个软件不
2025-04-02 22:06:34,085 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 是小程序吧，我没下载app
2025-04-02 22:06:34,125 - INFO - 获取到评论 - 用户: 水煮宝宝, 内容: 共计花了几天呀感觉好担心
2025-04-02 22:06:34,146 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 我的猫猫是27号下午3点左右送上车的，然后到28号下午4点左右才到，差不多一天，路程其实就800多公里，但是中途要送别的近一点的猫猫，时间就久了，路程肯定也绕远了
2025-04-02 22:06:34,166 - INFO - 获取到评论 - 用户: 牵着太阳找月亮, 内容: 多少钱啊你这个
2025-04-02 22:06:34,188 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 总共1000左右
2025-04-02 22:06:34,208 - INFO - 获取到评论 - 用户: Yy, 内容: 从哪里到福建呀 我也要托运宠物 这家靠谱吗
2025-04-02 22:06:34,230 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 我从杭州到福建的，我个人感觉还行，主要是车厢环境挺不错的
2025-04-02 22:06:34,250 - INFO - 获取到评论 - 用户: 昂的盆, 内容: 我就200多公里三个小时的路程 狗狗硬生生坐了10个小时的车
2025-04-02 22:06:34,270 - INFO - 获取到评论 - 用户: 六一不是猪咪, 内容: 那这也太久了应该是沿途有别的宠物先送它们了，我的800公里自己坐车12小时，我的猫猫坐了一天一夜
2025-04-02 22:06:34,291 - INFO - 获取到评论 - 用户: 非凡设计, 内容: 假的，别信亲测过
